Designator,Value,Kind,Reason/Action
PADESP31,IO38,smd,Test/debug pad; no assembly part.
PADESP32,IO39,smd,Test/debug pad; no assembly part.
PADESP33,IO40,smd,Test/debug pad; no assembly part.
PADESP34,IO41,smd,Test/debug pad; no assembly part.
PADESP35,IO42,smd,Test/debug pad; no assembly part.
PADESP36,RXD0,smd,Test/debug pad; no assembly part.
PADESP37,TXD0,smd,Test/debug pad; no assembly part.
PADESP38,IO2,smd,Test/debug pad; no assembly part.
PADESP39,IO1,smd,Test/debug pad; no assembly part.
PADESP40,GND,smd,Test/debug pad; no assembly part.
Q1,IRLB8721_OR_3V3_LOGIC_NMOS_RDS_ON_LOW,tht,"Selected candidate: IRLB8721PBF TO-220, JLC C153222; alternative FQP30N06L, JLC C243087. Hand-solder and thermally verify with real fan current."
SW1,RESET_EN,tht,"Selected candidate class: 6x6mm THT tactile switch, e.g. K3-1391A-51/JLC C92655. Optional; can be omitted if EN pad/debug access is enough."
SW2,BOOT,tht,"Selected candidate class: 6x6mm THT tactile switch, e.g. K3-1391A-51/JLC C92655. Optional; can be omitted if BOOT pad/debug access is enough."
TPESP1,GND,smd,Test/debug pad; no assembly part.
TPESP2,3V3,smd,Test/debug pad; no assembly part.
TPESP3,EN,smd,Test/debug pad; no assembly part.
TPESP4,IO4,smd,Test/debug pad; no assembly part.
TPESP5,IO5,smd,Test/debug pad; no assembly part.
TPESP6,IO6,smd,Test/debug pad; no assembly part.
TPESP7,IO7,smd,Test/debug pad; no assembly part.
TPESP8,IO15,smd,Test/debug pad; no assembly part.
TPESP9,IO16,smd,Test/debug pad; no assembly part.
TPESP10,IO17,smd,Test/debug pad; no assembly part.
TPESP11,IO18,smd,Test/debug pad; no assembly part.
TPESP12,IO8,smd,Test/debug pad; no assembly part.
TPESP13,USB_D-/IO19,smd,Test/debug pad; no assembly part.
TPESP14,USB_D+/IO20,smd,Test/debug pad; no assembly part.
TPESP15,IO3,smd,Test/debug pad; no assembly part.
TPESP16,IO46,smd,Test/debug pad; no assembly part.
TPESP17,IO9,smd,Test/debug pad; no assembly part.
TPESP18,IO10,smd,Test/debug pad; no assembly part.
TPESP19,IO11/MAXDO,smd,Test/debug pad; no assembly part.
TPESP20,IO12/MAXCS,smd,Test/debug pad; no assembly part.
TPESP21,IO13/MAXCLK,smd,Test/debug pad; no assembly part.
TPESP22,IO14,smd,Test/debug pad; no assembly part.
TPESP23,IO21,smd,Test/debug pad; no assembly part.
TPESP24,IO47,smd,Test/debug pad; no assembly part.
TPESP25,IO48,smd,Test/debug pad; no assembly part.
TPESP26,IO45,smd,Test/debug pad; no assembly part.
TPESP27,IO0/BOOT,smd,Test/debug pad; no assembly part.
TPESP28,IO35,smd,Test/debug pad; no assembly part.
TPESP29,IO36,smd,Test/debug pad; no assembly part.
TPESP30,IO37,smd,Test/debug pad; no assembly part.
TPESP31,IO38,smd,Test/debug pad; no assembly part.
TPESP32,IO39,smd,Test/debug pad; no assembly part.
TPESP33,IO40,smd,Test/debug pad; no assembly part.
TPESP34,IO41,smd,Test/debug pad; no assembly part.
TPESP35,IO42,smd,Test/debug pad; no assembly part.
TPESP36,RXD0/IO44,smd,Test/debug pad; no assembly part.
TPESP37,TXD0/IO43,smd,Test/debug pad; no assembly part.
TPESP38,IO2/FAN,smd,Test/debug pad; no assembly part.
TPESP39,IO1/SSR,smd,Test/debug pad; no assembly part.
TPESP40,GND,smd,Test/debug pad; no assembly part.
TPGND,GND_TEST,smd,Test/debug pad; no assembly part.
TP5V,+5V_TEST,smd,Test/debug pad; no assembly part.
TP24V,+24V_FUSED_TEST,smd,Test/debug pad; no assembly part.
TP3V3,+3V3_TEST,smd,Test/debug pad; no assembly part.
U3,3V3_SWITCHING_REGULATOR_>=600mA_5V_IN_REPLACES_AMS1117,smd,Selected candidate class: OKI-78SR-3.3/1.5-W36-C or R-78E3.3-0.5 switching regulator. Current RevA.1 footprint does not match; wire-in for prototype or update footprint in RevA.2.
U4,24V_TO_5V_BUCK_MODULE_>=1A_LOW_NOISE,tht,"Selected candidate class: 24V->5V buck module >=1A, e.g. Pololu D24V10F5/JLC C26689857 if footprint is adapted. Current module footprint must be verified before order."
U5,USBLC6-2SC6_OR_USB2_ESD,smd,"DNP for first PCBA: current RevA.1 USB ESD footprint is a draft/custom on-track footprint, not safe for SOT-23-6 placement. Candidate if redesigned: USBLC6-2SC6, JLC C7519."
